position,company,valoracion_empresa,city,country,contract_type,salary,min_exp,url
Data Engineer,KRELL CONSULTING & TRAINING,79.0,Barcelona,España,"De duración determinada, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/data-engineer/of-i65c54d461645b9bedf3b93443560fd?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer,Davidson Consulting España,,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/data-engineer/of-ia1edf2b31d41ac911135cb1c32071b?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Ingeniero/a Big Data,ALTRAN - Consultores/as,82.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/ingeniero-big-data/of-i0bb5ecb8f7418c88584589343d533d?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Loss Prevention,OpenSpring,,Madrid,España,"Indefinido, jornada completa",No disponible,No requerida,https://www.infojobs.net/madrid/data-loss-prevention/of-i20e73917974d2eb72100f13533a41e?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Responsable Técnico/a  Big Data,INETUM Norte,80.0,Bilbao,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/bilbao/responsable-tecnico-big-data/of-ie15fea5053456c9c63b96583d7ccef?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Experto/a POWER BI Python,RDT INGENIEROS - ofertas de trabajo,,Bilbao,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/bilbao/experto-power-bi-python/of-ic82c2a1fd846189484b63105e0c44c?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Experto Gestión Identidades y Gestión de Accesos,Capgemini,79.0,Madrid,España,"Indefinido, jornada completa",No disponible,Más de 5 años,https://www.infojobs.net/madrid/experto-gestion-identidades-gestion-accesos/of-i0e0800f1054ce7a3a3c5c7d83c804a?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Platform & Governance Manager,Adevinta Spain,97.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/barcelona/data-platform-governance-manager/of-if17902eeaa4038839c865b54c0c113?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
TÉCNICO DATA CENTER con idiomas (H/M),DIGI SPAIN TELECOM,90.0,Mairena Del Aljarafe,España,"Indefinido, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/mairena-del-aljarafe/tecnico-data-center-con-idiomas-h-m/of-ie154ab4e1746fd8b6393780436ea10?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Técnico/a Junior Data Center (CPD),Grupo Zelenza,,Barcelona,España,"Otros contratos, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/barcelona/tecnico-junior-data-center-cpd/of-ib462bb38374b08adbd223c7f727793?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Ingeniero de Datos-Azure . Ref. 832,M2C,80.0,Madrid,España,"Indefinido, jornada completa",33.000€ - 48.000€ bruto/año,Al menos 4 años,https://www.infojobs.net/madrid/ingeniero-datos-azure-.-ref.-832/of-iebe3fe573049689544b0523dea0ca2?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer AWS,Sopra Steria,81.0,Madrid,España,Jornada completa,No disponible,Al menos 2 años,https://www.infojobs.net/madrid/data-engineer-aws/of-i065244ef214ff7986c1029ee082979?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Research People Scientist,"ATWORK SPAIN, SL ",,Málaga,España,"Indefinido, jornada completa",None,Al menos 2 años,https://www.infojobs.net/malaga/research-people-scientist/of-ia003a29867483a8a4fcc51d709084c?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Research People Scientist,"ATWORK SPAIN, SL ",,Santander,España,"Indefinido, jornada completa",None,Al menos 2 años,https://www.infojobs.net/santander/research-people-scientist/of-i5d04743bc049d39f40e07f7a589ae6?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
